season_label,league,season_code,team,players_used,Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,url
2017-2018,ENG-Premier League,1718,Arsenal,30,26.8,38,3420,90,100,38,418,,,101,0,165,1.66,74,51,23,0.61,/en/squads/18bb7c10/2017-2018/Arsenal-Stats
2017-2018,ENG-Premier League,1718,Bournemouth,22,26.9,38,3420,90,100,38,418,,,109,0,157,1.16,45,61,-16,-0.42,/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats
2017-2018,ENG-Premier League,1718,Brighton,24,27.5,38,3420,90,100,38,418,,,101,0,165,1.05,34,54,-20,-0.53,/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats
2017-2018,ENG-Premier League,1718,Burnley,24,27.5,38,3420,90,100,38,418,,,83,0,183,1.42,36,39,-3,-0.08,/en/squads/943e8050/2017-2018/Burnley-Stats
2017-2018,ENG-Premier League,1718,Chelsea,26,26.7,38,3420,90,100,38,418,,,109,0,157,1.84,62,38,24,0.63,/en/squads/cff3d9bb/2017-2018/Chelsea-Stats
2017-2018,ENG-Premier League,1718,Crystal Palace,28,27.1,38,3420,90,100,38,418,,,73,0,191,1.16,45,55,-10,-0.26,/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats
2017-2018,ENG-Premier League,1718,Everton,30,26.7,38,3420,90,100,38,418,,,114,0,152,1.29,44,58,-14,-0.37,/en/squads/d3fd31cc/2017-2018/Everton-Stats
2017-2018,ENG-Premier League,1718,Huddersfield Town,25,26.4,38,3420,90,100,38,418,,,112,0,154,0.97,28,58,-30,-0.79,/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats
2017-2018,ENG-Premier League,1718,Leicester City,27,27.2,38,3420,90,100,38,418,,,107,0,159,1.24,56,60,-4,-0.11,/en/squads/a2d435b3/2017-2018/Leicester-City-Stats
2017-2018,ENG-Premier League,1718,Liverpool,27,25.6,38,3420,90,100,38,418,,,111,0,155,1.97,84,38,46,1.21,/en/squads/822bd0ba/2017-2018/Liverpool-Stats
2017-2018,ENG-Premier League,1718,Manchester City,25,26.4,38,3420,90,100,38,418,,,106,0,158,2.63,106,27,79,2.08,/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats
2017-2018,ENG-Premier League,1718,Manchester Utd,27,26.7,38,3420,90,100,38,418,,,111,0,155,2.13,68,28,40,1.05,/en/squads/19538871/2017-2018/Manchester-United-Stats
2017-2018,ENG-Premier League,1718,Newcastle United,27,25.6,38,3420,90,100,38,418,,,112,0,154,1.16,39,47,-8,-0.21,/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats
2017-2018,ENG-Premier League,1718,Southampton,26,26.2,38,3420,90,100,38,418,,,113,0,153,0.95,37,56,-19,-0.5,/en/squads/33c895d4/2017-2018/Southampton-Stats
2017-2018,ENG-Premier League,1718,Stoke City,30,27.5,38,3420,90,100,38,418,,,92,0,174,0.87,35,68,-33,-0.87,/en/squads/17892952/2017-2018/Stoke-City-Stats
2017-2018,ENG-Premier League,1718,Swansea City,26,27.2,38,3420,90,100,38,418,,,109,0,157,0.87,28,56,-28,-0.74,/en/squads/fb10988f/2017-2018/Swansea-City-Stats
2017-2018,ENG-Premier League,1718,Tottenham Hotspur,25,25.8,38,3420,90,100,38,418,,,108,0,157,2.03,74,36,38,1.0,/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats
2017-2018,ENG-Premier League,1718,Watford,29,27.9,38,3420,90,100,38,418,,,111,0,155,1.08,44,64,-20,-0.53,/en/squads/2abfe087/2017-2018/Watford-Stats
2017-2018,ENG-Premier League,1718,West Brom,24,29.1,38,3420,90,100,38,418,,,108,0,157,0.82,31,56,-25,-0.66,/en/squads/60c6b05f/2017-2018/West-Bromwich-Albion-Stats
2017-2018,ENG-Premier League,1718,West Ham United,27,28.0,38,3420,90,100,38,418,,,97,0,167,1.11,48,68,-20,-0.53,/en/squads/7c21e445/2017-2018/West-Ham-United-Stats
2018-2019,ENG-Premier League,1819,Arsenal,28,26.7,38,3420,90,100,38,418,83,,113,26,153,1.84,73,51,22,0.58,/en/squads/18bb7c10/2018-2019/Arsenal-Stats
2018-2019,ENG-Premier League,1819,Bournemouth,28,26.6,38,3420,90,100,38,418,86,,104,17,162,1.18,56,70,-14,-0.37,/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats
2018-2019,ENG-Premier League,1819,Brighton,21,27.4,38,3420,90,100,38,418,84,,99,22,167,0.95,35,60,-25,-0.66,/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats
2018-2019,ENG-Premier League,1819,Burnley,23,28.0,38,3420,90,100,38,418,86,,86,18,180,1.05,45,68,-23,-0.61,/en/squads/943e8050/2018-2019/Burnley-Stats
2018-2019,ENG-Premier League,1819,Cardiff City,25,27.7,38,3420,90,100,38,418,85,,109,18,157,0.89,34,69,-35,-0.92,/en/squads/75fae011/2018-2019/Cardiff-City-Stats
2018-2019,ENG-Premier League,1819,Chelsea,24,27.3,38,3420,90,100,38,418,85,,113,20,153,1.89,63,39,24,0.63,/en/squads/cff3d9bb/2018-2019/Chelsea-Stats
2018-2019,ENG-Premier League,1819,Crystal Palace,26,27.4,38,3420,90,100,38,418,87,,92,14,174,1.29,51,53,-2,-0.05,/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats
2018-2019,ENG-Premier League,1819,Everton,23,25.7,38,3420,90,100,38,418,85,,111,16,155,1.42,54,46,8,0.21,/en/squads/d3fd31cc/2018-2019/Everton-Stats
2018-2019,ENG-Premier League,1819,Fulham,28,26.0,38,3420,90,100,38,418,84,,108,22,158,0.68,34,81,-47,-1.24,/en/squads/fd962109/2018-2019/Fulham-Stats
2018-2019,ENG-Premier League,1819,Huddersfield Town,31,26.2,38,3420,90,100,38,418,84,,107,22,159,0.42,22,76,-54,-1.42,/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats
2018-2019,ENG-Premier League,1819,Leicester City,25,25.9,38,3420,90,100,38,418,85,,111,18,155,1.37,51,48,3,0.08,/en/squads/a2d435b3/2018-2019/Leicester-City-Stats
2018-2019,ENG-Premier League,1819,Liverpool,23,26.1,38,3420,90,100,38,418,86,,109,15,157,2.55,89,22,67,1.76,/en/squads/822bd0ba/2018-2019/Liverpool-Stats
2018-2019,ENG-Premier League,1819,Manchester City,21,26.7,38,3420,90,100,38,418,86,,108,17,158,2.58,95,23,72,1.89,/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
2018-2019,ENG-Premier League,1819,Manchester Utd,28,26.3,38,3420,90,100,38,418,85,,112,20,154,1.74,65,54,11,0.29,/en/squads/19538871/2018-2019/Manchester-United-Stats
2018-2019,ENG-Premier League,1819,Newcastle United,24,26.9,38,3420,90,100,38,418,86,,99,17,167,1.18,42,48,-6,-0.16,/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats
2018-2019,ENG-Premier League,1819,Southampton,30,25.4,38,3420,90,100,38,418,85,,107,20,159,1.03,45,65,-20,-0.53,/en/squads/33c895d4/2018-2019/Southampton-Stats
2018-2019,ENG-Premier League,1819,Tottenham Hotspur,28,26.8,38,3420,90,100,38,418,86,,106,15,160,1.87,67,39,28,0.74,/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats
2018-2019,ENG-Premier League,1819,Watford,25,28.5,38,3420,90,100,38,418,85,,103,18,163,1.32,52,59,-7,-0.18,/en/squads/2abfe087/2018-2019/Watford-Stats
2018-2019,ENG-Premier League,1819,West Ham United,26,27.6,38,3420,90,100,38,418,84,,113,23,152,1.37,52,55,-3,-0.08,/en/squads/7c21e445/2018-2019/West-Ham-United-Stats
2018-2019,ENG-Premier League,1819,Wolves,21,26.1,38,3420,90,100,38,418,85,,110,17,156,1.5,47,46,1,0.03,/en/squads/8cec06e1/2018-2019/Wolverhampton-Wanderers-Stats
2019-2020,ENG-Premier League,1920,Arsenal,29,25.8,38,3420,90,100,38,418,83,,123,21,163,1.47,56,48,8,0.21,/en/squads/18bb7c10/2019-2020/Arsenal-Stats
2019-2020,ENG-Premier League,1920,Aston Villa,28,25.7,38,3420,90,100,38,418,84,,113,22,173,0.92,41,67,-26,-0.68,/en/squads/8602292d/2019-2020/Aston-Villa-Stats
2019-2020,ENG-Premier League,1920,Bournemouth,27,25.2,38,3420,90,100,38,418,84,,108,23,176,0.89,40,65,-25,-0.66,/en/squads/4ba7cbea/2019-2020/Bournemouth-Stats
2019-2020,ENG-Premier League,1920,Brighton,25,26.4,38,3420,90,100,38,418,84,,128,20,155,1.08,39,54,-15,-0.39,/en/squads/d07537b9/2019-2020/Brighton-and-Hove-Albion-Stats
2019-2020,ENG-Premier League,1920,Burnley,22,28.0,38,3420,90,100,38,418,86,,74,20,206,1.42,43,50,-7,-0.18,/en/squads/943e8050/2019-2020/Burnley-Stats
2019-2020,ENG-Premier League,1920,Chelsea,27,25.5,38,3420,90,100,38,418,84,,117,20,166,1.74,69,54,15,0.39,/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
2019-2020,ENG-Premier League,1920,Crystal Palace,25,29.4,38,3420,90,100,38,418,85,,98,20,185,1.13,31,50,-19,-0.5,/en/squads/47c64c55/2019-2020/Crystal-Palace-Stats
2019-2020,ENG-Premier League,1920,Everton,24,25.5,38,3420,90,100,38,418,83,,120,24,164,1.29,44,56,-12,-0.32,/en/squads/d3fd31cc/2019-2020/Everton-Stats
2019-2020,ENG-Premier League,1920,Leicester City,24,26.1,38,3420,90,100,38,418,84,,112,21,172,1.63,67,41,26,0.68,/en/squads/a2d435b3/2019-2020/Leicester-City-Stats
2019-2020,ENG-Premier League,1920,Liverpool,24,26.6,38,3420,90,100,38,418,85,,127,17,157,2.61,85,33,52,1.37,/en/squads/822bd0ba/2019-2020/Liverpool-Stats
2019-2020,ENG-Premier League,1920,Manchester City,24,26.9,38,3420,90,100,38,418,83,,120,22,166,2.13,102,35,67,1.76,/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats
2019-2020,ENG-Premier League,1920,Manchester Utd,29,24.8,38,3420,90,100,38,418,85,,119,16,165,1.74,66,36,30,0.79,/en/squads/19538871/2019-2020/Manchester-United-Stats
2019-2020,ENG-Premier League,1920,Newcastle United,28,26.5,38,3420,90,100,38,418,84,,118,20,166,1.16,38,58,-20,-0.53,/en/squads/b2b47a98/2019-2020/Newcastle-United-Stats
2019-2020,ENG-Premier League,1920,Norwich City,30,26.0,38,3420,90,100,38,418,85,,126,17,157,0.55,26,75,-49,-1.29,/en/squads/1c781004/2019-2020/Norwich-City-Stats
2019-2020,ENG-Premier League,1920,Sheffield United,26,26.9,38,3420,90,100,38,418,84,,110,22,171,1.42,39,39,0,0.0,/en/squads/1df6b87e/2019-2020/Sheffield-United-Stats
2019-2020,ENG-Premier League,1920,Southampton,25,25.9,38,3420,90,100,38,418,85,,111,18,171,1.37,51,60,-9,-0.24,/en/squads/33c895d4/2019-2020/Southampton-Stats
2019-2020,ENG-Premier League,1920,Tottenham Hotspur,29,26.7,38,3420,90,100,38,418,85,,113,18,171,1.55,61,47,14,0.37,/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats
2019-2020,ENG-Premier League,1920,Watford,26,28.9,38,3420,90,100,38,418,84,,113,20,171,0.89,36,64,-28,-0.74,/en/squads/2abfe087/2019-2020/Watford-Stats
2019-2020,ENG-Premier League,1920,West Ham United,29,27.4,38,3420,90,100,38,418,85,,107,21,177,1.03,49,62,-13,-0.34,/en/squads/7c21e445/2019-2020/West-Ham-United-Stats
2019-2020,ENG-Premier League,1920,Wolves,21,26.6,38,3420,90,100,38,418,86,,97,19,187,1.55,51,40,11,0.29,/en/squads/8cec06e1/2019-2020/Wolverhampton-Wanderers-Stats
2020-2021,ENG-Premier League,2021,Arsenal,29,25.9,38,3420,90,100,38,418,84,301,114,19,201,1.61,55,39,16,0.42,/en/squads/18bb7c10/2020-2021/Arsenal-Stats
2020-2021,ENG-Premier League,2021,Aston Villa,24,25.2,38,3420,90,100,38,418,86,324,91,17,229,1.45,55,46,9,0.24,/en/squads/8602292d/2020-2021/Aston-Villa-Stats
2020-2021,ENG-Premier League,2021,Brighton,27,25.8,38,3420,90,100,38,418,85,305,108,20,208,1.08,40,46,-6,-0.16,/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats
2020-2021,ENG-Premier League,2021,Burnley,25,28.3,38,3420,90,100,38,418,86,339,81,19,235,1.03,33,55,-22,-0.58,/en/squads/943e8050/2020-2021/Burnley-Stats
2020-2021,ENG-Premier League,2021,Chelsea,27,26.0,38,3420,90,100,38,418,84,308,108,22,208,1.76,58,36,22,0.58,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
2020-2021,ENG-Premier League,2021,Crystal Palace,24,29.1,38,3420,90,100,38,418,86,321,95,17,208,1.16,41,66,-25,-0.66,/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats
2020-2021,ENG-Premier League,2021,Everton,29,26.3,38,3420,90,100,38,418,85,310,106,19,206,1.55,47,48,-1,-0.03,/en/squads/d3fd31cc/2020-2021/Everton-Stats
2020-2021,ENG-Premier League,2021,Fulham,28,25.2,38,3420,90,100,38,418,85,306,110,19,203,0.74,27,53,-26,-0.68,/en/squads/fd962109/2020-2021/Fulham-Stats
2020-2021,ENG-Premier League,2021,Leeds United,23,26.1,38,3420,90,100,38,418,83,312,107,25,209,1.55,62,54,8,0.21,/en/squads/5bfb9659/2020-2021/Leeds-United-Stats
2020-2021,ENG-Premier League,2021,Leicester City,27,26.5,38,3420,90,100,38,418,85,320,99,22,216,1.74,68,50,18,0.47,/en/squads/a2d435b3/2020-2021/Leicester-City-Stats
2020-2021,ENG-Premier League,2021,Liverpool,28,26.8,38,3420,90,100,38,418,85,314,104,19,212,1.82,68,42,26,0.68,/en/squads/822bd0ba/2020-2021/Liverpool-Stats
2020-2021,ENG-Premier League,2021,Manchester City,24,26.1,38,3420,90,100,38,418,86,339,77,22,240,2.26,83,32,51,1.34,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
2020-2021,ENG-Premier League,2021,Manchester Utd,29,25.6,38,3420,90,100,38,418,86,318,99,18,219,1.95,73,44,29,0.76,/en/squads/19538871/2020-2021/Manchester-United-Stats
2020-2021,ENG-Premier League,2021,Newcastle United,27,27.1,38,3420,90,100,38,418,85,306,109,19,209,1.18,46,62,-16,-0.42,/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats
2020-2021,ENG-Premier League,2021,Sheffield United,27,26.7,38,3420,90,100,38,418,83,315,103,25,198,0.61,20,63,-43,-1.13,/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats
2020-2021,ENG-Premier League,2021,Southampton,29,26.6,38,3420,90,100,38,418,85,314,101,19,215,1.13,47,68,-21,-0.55,/en/squads/33c895d4/2020-2021/Southampton-Stats
2020-2021,ENG-Premier League,2021,Tottenham Hotspur,24,27.2,38,3420,90,100,38,418,85,305,112,20,204,1.63,68,45,23,0.61,/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats
2020-2021,ENG-Premier League,2021,West Brom,30,26.4,38,3420,90,100,38,418,84,311,104,22,211,0.68,35,76,-41,-1.08,/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats
2020-2021,ENG-Premier League,2021,West Ham United,24,27.8,38,3420,90,100,38,418,86,316,99,17,214,1.71,62,47,15,0.39,/en/squads/7c21e445/2020-2021/West-Ham-United-Stats
